url,label,source,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
news.abs-cbn.com,5,MBFC,3802228,2123520,465222,464665,3404802,90940,940250,5456,53,2464264,84844,204133,16217,371937,108305,24,286125,16462459,3430831,49497,16176,32280,3483
news.amomama.com,5,MBFC,2073201,2038381,125124,125123,2071579,2763,81184,662,6,1990378,1559,55,3,545,4,0,122409,3175762,1227074,9985,5832,12165,10068
news.cn,3,MBFC-Q,96578942,23230764,11415032,10802641,89471278,3311959,937592,4701,32,88533672,92591,112,739647,487055,58135,33,6765973,259932310,35569523,120250,32954,85820,6041
news.err.ee,5,MBFC,303421,152373,191815,191814,299285,8801,85049,985,6,214209,2863,1144,78,13329,119,2,66547,9581455,760755,10118,5995,9629,1421
news.google.com,5,MBFC,1723131189,756657393,2821483,2821478,1713737349,367320177,197685048,728600,742523,1515323728,1636732,2712068,448171,1173412,112090,20859,1041609,3477814,589,1255726,57467,203297,19
news.grabien.com,4,MBFC,209946,169797,51299,51285,209787,819,6016,753,0,203771,153,2,0,7,2,0,51194,1073270,414350,3252,2084,3005,2150
news.harvard.edu,5,MBFC,1301466,737564,40395,40265,1237796,61913,246130,4688,186,991234,3522,746,825,44115,4577,137,31398,1175893,360854,71426,23384,46363,5557
news.mongabay.com,5,MBFC,2088693,838089,142289,142283,2081773,86009,311094,6538,23,1770375,4114,263,385,30095,1816,0,54800,7124800,1321663,35097,15099,26998,11959
news.sky.com,5,MBFC,22236981,10622371,620892,620865,19978504,878125,2978221,73092,1834,16996705,34065,2203709,1152,1219212,8718,580,290772,10266659,4983167,154567,44247,105611,2700
news.trust.org,5,MBFC,1815876,801408,1064528,1064447,1792562,70143,213245,4061,115,1578959,9828,2566,663,14057,10757,114,840086,32998085,8151056,32192,15346,29606,15717
